ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2025-08-13-0-002,13/08/2025,Banque,PTF#BA#BANQ#BAN,Rembroucement Emprunt,FCT.R-EMP,,"37,59 €",N/A,,,Réglé,Finance / Crédits / Remboursement Prêts Perso,C.D-FIN.CR.05,Eric Famille,T#TT-SER-TR-PER#250728#ERIC_FAMILLE___,,,
2025-08-13-0-001,13/08/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,,"37,59 €",N/A,,,Réglé,Quotidien / Consommation / Annimaux,C.D-QUO.CO.01,Eric Famille,T#TT-SER-TR-PER#250728#ERIC_FAMILLE___,,,
2025-08-14-0-001,14/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"9,00 €",Oui,14/08/2025,05/09/2025,Réglé,Santé & Bien-être / Santé / Remboursement mutuelle,C.R-SAN.SA.04,Alptis - Mutuelle santé,T#TT-PUB-SA-MUT#250721#ALPTIS__MUTUELL,,,
2025-08-18-0-002,18/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"10,50 €",Oui,19/08/2025,05/09/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Le Shanghaï - restaurant,T#TT-COM-RE-RES#250701#LE_SHANGHA__RES,,Loc Epinal,P#2025LOC_EPINAL
2025-08-18-0-000,18/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"20,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Green Bagel Café - Epinal,T#TT-COM-RE-BAR#250723#GREEN_BAGEL_CAF,,Loc Epinal,P#2025LOC_EPINAL
2025-08-19-0-002,19/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"31,91 €",Oui,20/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Papeterie & Bureautique,C.D-QUO.CO.07,Carrefour Heilliecourt Nancy,T#TT-COM-DI-SUP#250821#CARREFOUR_HEILL,,,
2025-08-19-0-000,19/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,90 €",N/A,,,Réglé,Logement /Ameublement & Entretien / Serrurier,C.D-LOG.AM.05,Service Minute - Cordonnier Serrurier - Nancy Heilliecourt,T#TT-COM-SP-COR#250821#SERVICE_MINUTE_,,,
2025-08-20-0-007,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-03423480248950987,"26,99 €",Oui,21/08/2025,05/09/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,Enceinte bluetooth,,
2025-08-20-0-006,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-03423480248950987,"13,53 €",Oui,21/08/2025,05/09/2025,Réglé,Logement / Ameublement / Accessoires,C.D-LOG.AM.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,bruleur d'encens,,
2025-08-20-0-005,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-03423480248950987,"10,45 €",Oui,21/08/2025,05/09/2025,Réglé,Quotidien / Mode / Vêtements ,C.D-QUO.MO.04,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-20-0-004,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-03423480248950987,"5,25 €",Oui,21/08/2025,05/09/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-20-0-003,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-03423396362870987,"20,80 €",Oui,21/08/2025,05/09/2025,Réglé,Logement / Ameublement / Accessoires,C.D-LOG.AM.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,Couteaux,Loc Epinal,P#2025LOC_EPINAL
2025-08-20-0-002,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"21,50 €",Oui,22/08/2025,05/09/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Chez Gaston - Restaurant Epinal,T#TT-COM-RE-RES#250821#CHEZ_GASTON__RE,,Loc Epinal,P#2025LOC_EPINAL
2025-08-20-0-001,20/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"64,57 €",Oui,20/08/2025,05/09/2025,Réglé,Logement / Charges / Énergie (Élec & Gaz),C.D-LOG.CH.05,EDF & GDF - Electricité & Gaz de France,T#TT-PUB-AS-ELE#250801#EDF__GDF__ELECT,,Loc Epinal,P#2025LOC_EPINAL
2025-08-21-0-005,21/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"3,49 €",Oui,25/08/2025,05/09/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Colombus Café - Epinal,T#TT-COM-RE-RES#250827#COLOMBUS_CAF__E,,Loc Epinal,P#2025LOC_EPINAL
2025-08-21-0-004,21/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"93,57 €",Oui,22/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Intermarché - Golbey / Epinal,T#TT-COM-DI-SUP#250723#INTERMARCH__GOL,,Loc Epinal,P#2025LOC_EPINAL
2025-08-21-0-003,21/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"76,63 €",Oui,22/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,Loc Epinal,P#2025LOC_EPINAL
2025-08-21-0-002,21/08/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,PO-069-05141496100470987,"6,47 €",Oui,25/08/2025,05/09/2025,Réglé,Logement / Ameublement & Entretien / Décoration,C.D-LOG.AM.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Viking,P#2025VIKING____
2025-08-21-0-001,21/08/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,PO-069-05141496100470987,"15,62 €",Oui,25/08/2025,05/09/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-22-0-001,22/08/2025,Banque,PTF#BA#BANQ#BAN,Transfert & Retraits,FCT.MV-TF,,"100,00 €",Oui,26/08/2025,05/09/2025,Réglé,Finance / Banque / Retrait,C.D-FIN.BA.05,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-08-23-0-002,23/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"6,01 €",Oui,26/08/2025,05/09/2025,Réglé,Quotidien / Abonnement / Internet & Mobile,C.D-QUO.AB.01,Syma - Mobile,T#TT-COM-NU-FOU#250101#SYMA__MOBILE___,,Telephone,P#2025TELEPHONE_
2025-08-23-0-000,23/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"2,60 €",N/A,,,Réglé,Quotidien / Consommation / Courses,,La mie caline,T#TT-COM-RE-BOU#250823#LA_MIE_CALINE__,,Loc Epinal,P#2025LOC_EPINAL
2025-08-24-0-001,24/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"50,98 €",Oui,26/08/2025,05/09/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Fresh 'n Rebel,T#TT-COM-NU-INT#250801#FRESH_N_REBEL__,Casque,,
2025-08-26-0-009,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669806211190987,"17,08 €",Oui,27/08/2025,05/09/2025,Réglé,Logement / Ameublement / Accessoires,C.D-LOG.AM.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Loc Epinal,P#2025LOC_EPINAL
2025-08-26-0-008,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"0,00 €",Oui,27/08/2025,05/09/2025,Réglé,Quotidien / Mode / Vêtements ,C.D-QUO.MO.04,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-26-0-007,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"3,72 €",Oui,27/08/2025,05/09/2025,Réglé,Quotidien /  Mode / Accessoire Beauté,C.D-QUO.MO.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-26-0-006,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"13,41 €",Oui,27/08/2025,05/09/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-26-0-005,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"3,95 €",Oui,27/08/2025,05/09/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Telephone,P#2025TELEPHONE_
